trial_count,FB,TS,correct_action,response,rt,stim,correct,con_ts,con_stim,curr_ts,switch
46,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,l,0.5956621170043945,1,False,False,True,1,False
47,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.4995408058166504,1,True,True,True,0,True
48,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.3525199890136719,0,True,True,True,0,False
49,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.5316329002380371,0,True,True,True,0,False
50,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.4972090721130371,0,True,True,True,0,False
51,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.3847038745880127,1,True,True,True,0,False
52,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.8665719032287598,1,True,True,True,0,False
53,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.4612009525299072,0,True,True,True,0,False
54,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.4371519088745117,1,True,True,True,0,False
55,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.5531949996948242,1,True,True,True,0,False
56,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.5288939476013184,0,True,True,True,0,False
57,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.4206099510192871,1,True,True,True,0,False
58,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.5193369388580322,0,True,True,True,0,False
59,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.4494588375091553,1,True,True,True,0,False
60,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.49610400199890137,1,True,True,True,0,False
61,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,k,0.4710409641265869,1,False,False,True,0,False
62,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,j,0.3112070560455322,0,False,False,True,0,False
63,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.4162869453430176,0,True,True,True,1,True
64,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.49208784103393555,1,True,True,True,1,False
65,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.43932294845581055,0,True,True,True,1,False
66,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.4979898929595947,1,True,True,True,1,False
67,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.565453052520752,0,True,True,True,1,False
68,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.4574398994445801,0,True,True,True,1,False
69,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.3958301544189453,1,True,True,True,1,False
70,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,j,0.4141879081726074,0,False,False,True,0,True
71,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.48744797706604004,0,True,True,True,1,True
