trial_count,FB,TS,correct_action,response,rt,stim,correct,con_ts,con_stim,curr_ts,switch
469,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.4861011505126953,0,True,True,True,0,False
470,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.4560830593109131,0,True,True,True,0,False
471,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.3633859157562256,1,True,True,True,0,False
472,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.3738720417022705,1,True,True,True,0,False
473,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.4020209312438965,0,True,True,True,0,False
474,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.44290709495544434,0,True,True,True,0,False
475,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.46382594108581543,1,True,True,True,0,False
476,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.4877800941467285,1,True,True,True,0,False
477,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.31798386573791504,0,True,True,True,0,False
478,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.4337470531463623,0,True,True,True,0,False
479,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.36874890327453613,0,True,True,True,0,False
480,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.44718289375305176,1,True,True,True,0,False
481,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,k,0.45868992805480957,1,False,False,True,0,False
482,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,j,0.3648340702056885,0,False,False,True,0,False
483,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.6226959228515625,1,True,True,True,1,True
484,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.3438870906829834,0,True,True,True,1,False
485,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.5567970275878906,1,True,True,True,1,False
486,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.4399409294128418,1,True,True,True,1,False
487,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.41094112396240234,0,True,True,True,1,False
488,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.42798805236816406,0,True,True,True,1,False
489,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.43041300773620605,0,True,True,True,1,False
490,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.4296860694885254,1,True,True,True,1,False
491,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.46883702278137207,1,True,True,True,1,False
492,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.4976508617401123,1,True,True,True,1,False
493,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.3870391845703125,0,True,True,True,1,False
494,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,l,0.3087129592895508,0,False,True,False,1,False
495,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.32370591163635254,1,True,True,True,1,False
496,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,l,0.45403289794921875,1,False,False,True,1,False
497,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.37296009063720703,0,True,True,True,0,True
498,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.5357828140258789,0,True,True,True,0,False
499,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.4570128917694092,1,True,True,True,0,False
500,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.4896419048309326,1,True,True,True,0,False
501,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.38322997093200684,0,True,True,True,0,False
502,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.39237213134765625,1,True,True,True,0,False
503,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.3464488983154297,0,True,True,True,0,False
504,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.3200390338897705,1,True,True,True,0,False
505,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.37816691398620605,0,True,True,True,0,False
506,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.5043680667877197,1,True,True,True,0,False
507,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.34987783432006836,0,True,True,True,0,False
508,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.42764806747436523,0,True,True,True,0,False
509,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.4742770195007324,0,True,True,True,0,False
510,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.3948531150817871,0,True,True,True,0,False
511,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,k,0.3205599784851074,1,False,False,True,0,False
512,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.3858530521392822,0,True,True,True,1,True
513,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.3324429988861084,1,True,True,True,1,False
514,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.5637049674987793,1,True,True,True,1,False
515,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.4355309009552002,1,True,True,True,1,False
516,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.36065196990966797,0,True,True,True,1,False
517,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.4925079345703125,1,True,True,True,1,False
518,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.5043349266052246,0,True,True,True,1,False
519,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.4297349452972412,1,True,True,True,1,False
520,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.4457700252532959,1,True,True,True,1,False
521,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.5310602188110352,1,True,True,True,1,False
522,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.35227394104003906,0,True,True,True,1,False
523,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.3249528408050537,1,True,True,True,1,False
524,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.34429192543029785,0,True,True,True,1,False
525,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.44463610649108887,0,True,True,True,1,False
526,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,l,0.329301118850708,1,False,False,True,1,False
527,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.43982386589050293,1,True,True,True,0,True
528,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.4846198558807373,1,True,True,True,0,False
529,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.3636479377746582,0,True,True,True,0,False
530,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.5769650936126709,1,True,True,True,0,False
531,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.3362691402435303,0,True,True,True,0,False
532,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.4698660373687744,1,True,True,True,0,False
533,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,j,0.3457069396972656,1,False,True,False,0,False
534,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.33986711502075195,0,True,True,True,0,False
535,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.3516099452972412,1,True,True,True,0,False
536,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.48563098907470703,0,True,True,True,0,False
537,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.6184520721435547,0,True,True,True,0,False
538,0,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.48592400550842285,1,True,True,True,0,False
539,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",j,j,0.4043271541595459,0,True,True,True,0,False
540,1,"{'probs': (0.8, 0.2), 'actions': ['j', 'k']}",k,k,0.34201598167419434,1,True,True,True,0,False
541,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,j,0.3882029056549072,0,False,False,True,0,False
542,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,k,0.35797691345214844,1,False,False,True,0,False
543,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.37091493606567383,0,True,True,True,1,True
544,0,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.46294116973876953,0,True,True,True,1,False
545,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.5049619674682617,1,True,True,True,1,False
546,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.39174413681030273,0,True,True,True,1,False
547,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.4560420513153076,0,True,True,True,1,False
548,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",h,h,0.4207611083984375,0,True,True,True,1,False
549,1,"{'probs': (0.8, 0.2), 'actions': ['h', 'l']}",l,l,0.3505220413208008,1,True,True,True,1,False
