trial_count,FB,TS,correct_action,response,rt,stim,correct,con_ts,con_stim,curr_ts,switch
320,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.5863809585571289,0,True,True,True,0,True
321,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,j,0.48815488815307617,1,False,False,True,0,False
322,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,j,0.4275350570678711,1,False,False,True,0,False
323,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,h,0.9015071392059326,0,False,False,True,0,False
324,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,h,0.5779659748077393,0,False,False,True,0,False
325,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.4374210834503174,0,True,True,True,1,True
326,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.3747711181640625,1,True,True,True,1,False
327,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.34673309326171875,0,True,True,True,1,False
328,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,j,0.5322251319885254,1,False,False,True,0,True
329,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.5489480495452881,1,True,True,True,1,True
330,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.45148396492004395,0,True,True,True,1,False
331,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.37342095375061035,1,True,True,True,1,False
332,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.43613290786743164,1,True,True,True,1,False
333,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.38301897048950195,0,True,True,True,1,False
334,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.46137499809265137,0,True,True,True,1,False
335,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,k,0.44787120819091797,0,False,True,False,1,False
336,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.4613640308380127,0,True,True,True,1,False
337,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,k,0.5044620037078857,1,False,False,True,1,False
338,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.5626180171966553,0,True,True,True,0,True
339,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.4619300365447998,1,True,True,True,0,False
340,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,l,0.48714494705200195,0,False,False,True,1,True
341,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,l,0.31574106216430664,1,False,False,False,1,False
342,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,k,0.5629348754882812,1,False,False,True,1,False
343,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.4861409664154053,1,True,True,True,0,True
344,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,j,0.3328869342803955,0,False,True,False,0,False
345,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.4546630382537842,0,True,True,True,0,False
346,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.5178189277648926,1,True,True,True,0,False
347,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,k,0.47916507720947266,1,False,False,True,1,True
348,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,l,0.5209150314331055,0,False,False,True,1,False
349,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.4258840084075928,0,True,True,True,0,True
350,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.5254318714141846,0,True,True,True,0,False
351,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.4473438262939453,1,True,True,True,0,False
352,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.6538949012756348,0,True,True,True,0,False
353,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,j,0.5219640731811523,1,False,False,True,0,False
354,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.44960999488830566,1,True,True,True,1,True
355,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.4698660373687744,1,True,True,True,1,False
356,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.48238515853881836,0,True,True,True,1,False
357,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.4631969928741455,0,True,True,True,1,False
358,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,h,0.690342903137207,0,False,False,True,0,True
359,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,j,0.6675639152526855,1,False,False,True,0,False
360,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.49695897102355957,1,True,True,True,1,True
361,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.483320951461792,0,True,True,True,1,False
362,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.565546989440918,1,True,True,True,1,False
363,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.4661719799041748,1,True,True,True,1,False
364,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.46927380561828613,0,True,True,True,1,False
365,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.4531710147857666,1,True,True,True,1,False
366,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.4025709629058838,0,True,True,True,1,False
367,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.5950069427490234,0,True,True,True,1,False
368,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.46162986755371094,1,True,True,True,1,False
369,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,k,0.6317009925842285,1,False,False,True,1,False
370,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.43533992767333984,0,True,True,True,0,True
371,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.6705899238586426,1,True,True,True,0,False
372,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.6064460277557373,1,True,True,True,0,False
373,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.546018123626709,1,True,True,True,0,False
374,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,l,0.584597110748291,0,False,False,True,1,True
375,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,l,0.47981715202331543,0,False,False,True,1,False
376,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.35489678382873535,1,True,True,True,0,True
377,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.407243013381958,0,True,True,True,0,False
378,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.41814088821411133,0,True,True,True,0,False
379,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.44931697845458984,0,True,True,True,0,False
380,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.42267704010009766,1,True,True,True,0,False
381,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.43205881118774414,0,True,True,True,0,False
382,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.4752810001373291,0,True,True,True,0,False
383,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.42130517959594727,1,True,True,True,0,False
384,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.4105870723724365,1,True,True,True,0,False
385,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,j,0.3804008960723877,0,False,False,False,0,False
386,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,j,0.5318398475646973,1,False,False,True,0,False
387,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,j,0.3805241584777832,1,False,False,True,0,False
388,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.6027669906616211,0,True,True,True,1,True
389,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,j,0.709320068359375,1,False,False,True,0,True
390,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.46946001052856445,0,True,True,True,1,True
391,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.4233279228210449,1,True,True,True,1,False
392,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.6038367748260498,1,True,True,True,1,False
393,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.3884298801422119,0,True,True,True,1,False
394,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.3735239505767822,1,True,True,True,1,False
395,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.37709808349609375,0,True,True,True,1,False
396,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,h,0.4058048725128174,0,False,False,True,0,True
397,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.6836979389190674,1,True,True,True,1,True
398,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.49221110343933105,1,True,True,True,1,False
399,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.35369205474853516,0,True,True,True,1,False
400,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.4016149044036865,0,True,True,True,1,False
401,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.4828050136566162,0,True,True,True,0,True
402,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.46138691902160645,1,True,True,True,0,False
403,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.39725184440612793,0,True,True,True,0,False
404,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.4226570129394531,1,True,True,True,0,False
405,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.4297358989715576,0,True,True,True,0,False
406,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.45909905433654785,0,True,True,True,0,False
407,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.529731035232544,1,True,True,True,0,False
408,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.41572093963623047,0,True,True,True,0,False
409,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.5461199283599854,1,True,True,True,0,False
410,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.3987250328063965,0,True,True,True,0,False
411,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.36888790130615234,1,True,True,True,0,False
412,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.314251184463501,0,True,True,True,0,False
413,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.3409299850463867,1,True,True,True,0,False
414,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.3154299259185791,0,True,True,True,0,False
415,0,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",j,j,0.40453195571899414,1,True,True,True,0,False
416,1,"{'probs': (0.9, 0.1), 'actions': ['h', 'j']}",h,h,0.6800029277801514,0,True,True,True,0,False
417,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,h,0.4718129634857178,0,False,False,True,0,False
418,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.5685460567474365,0,True,True,True,1,True
419,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.4141700267791748,1,True,True,True,1,False
420,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,j,0.6256539821624756,1,False,False,True,0,True
421,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.46229982376098633,0,True,True,True,1,True
422,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.550584077835083,0,True,True,True,1,False
423,0,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.46602392196655273,0,True,True,True,1,False
424,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.5888609886169434,1,True,True,True,1,False
425,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.4297220706939697,0,True,True,True,1,False
426,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.6375470161437988,1,True,True,True,1,False
427,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.4506800174713135,0,True,True,True,1,False
428,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.473721981048584,1,True,True,True,1,False
429,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",l,l,0.40146303176879883,0,True,True,True,1,False
430,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.4658339023590088,1,True,True,True,1,False
431,1,"{'probs': (0.9, 0.1), 'actions': ['l', 'k']}",k,k,0.49550509452819824,1,True,True,True,1,False
